"","Name","Height","Weight","Average_Height","Average_Weight","Year"
"1","Joe Smith",82,"225",79.2068965517241,223.378378378378,1995
"2","Antonio McDyess",81,"220",79.2068965517241,223.378378378378,1995
"3","Jerry Stackhouse",78,"218",79.2068965517241,223.378378378378,1995
"4","Rasheed Wallace",82,"225",79.2068965517241,223.378378378378,1995
"5","Kevin Garnett",83,"220",79.2068965517241,223.378378378378,1995
"6","Bryant Reeves",84,"275",79.2068965517241,223.378378378378,1995
"7","Damon Stoudamire",70,"171",79.2068965517241,223.378378378378,1995
"8","Shawn Respert",73,"195",79.2068965517241,223.378378378378,1995
"9","Ed OBannon",80,"222",79.2068965517241,223.378378378378,1995
"10","Kurt Thomas",81,"230",79.2068965517241,223.378378378378,1995
"11","Gary Trent",80,"250",79.2068965517241,223.378378378378,1995
"12","Cherokee Parks",83,"235",79.2068965517241,223.378378378378,1995
"13","Corliss Williamson",79,"245",79.2068965517241,223.378378378378,1995
"14","Eric Williams",80,"220",79.2068965517241,223.378378378378,1995
"15","Brent Barry",78,"185",79.2068965517241,223.378378378378,1995
"16","Alan Henderson",81,"235",79.2068965517241,223.378378378378,1995
"17","Bob Sura",77,"200",79.2068965517241,223.378378378378,1995
"18","Theo Ratliff",82,"225",79.2068965517241,223.378378378378,1995
"19","Randolph Childress",74,"188",79.2068965517241,223.378378378378,1995
"20","Jason Caffey",80,"255",79.2068965517241,223.378378378378,1995
"21","Michael Finley",79,"215",79.2068965517241,223.378378378378,1995
"22","George Zidek",84,"250",79.2068965517241,223.378378378378,1995
"23","Travis Best",71,"182",79.2068965517241,223.378378378378,1995
"24","Loren Meyer",82,"257",79.2068965517241,223.378378378378,1995
"25","David Vaughn",81,"240",79.2068965517241,223.378378378378,1995
"26","Sherell Ford",79,"210",79.2068965517241,223.378378378378,1995
"27","Mario Bennett",78,"235",79.2068965517241,223.378378378378,1995
"28","Greg Ostertag",86,"280",79.2068965517241,223.378378378378,1995
"29","Cory Alexander",73,"185",79.2068965517241,223.378378378378,1995
"30","Lou Roe",79,"220",79.2068965517241,223.378378378378,1995
"31","Dragan Tarlac",82,"260",79.2068965517241,223.378378378378,1995
"32","Terrence Rencher",75,"185",79.2068965517241,223.378378378378,1995
"33","Junior Burrough",80,"242",79.2068965517241,223.378378378378,1995
"34","Andrew DeClerq",82,"230",79.2068965517241,223.378378378378,1995
"35","Jimmy King",77,"210",79.2068965517241,223.378378378378,1995
"36","Lawrence Moten",77,"185",79.2068965517241,223.378378378378,1995
"37","Frankie King",73,"185",79.2068965517241,223.378378378378,1995
"38","Rashard Griffith",83,"277",79.2068965517241,223.378378378378,1995
"39","Donny Marshall",79,"230",79.2068965517241,223.378378378378,1995
"40","Dwayne Whitfield",81,"240",79.2068965517241,223.378378378378,1995
"41","Erik Meek",82,"244",79.2068965517241,223.378378378378,1995
"42","Donnie Boyce",77,"196",79.2068965517241,223.378378378378,1995
"43","Eric Snow",75,"190",79.2068965517241,223.378378378378,1995
"44","Anthony Pelle",84,"264",79.2068965517241,223.378378378378,1995
"45","Troy Brown",80,"240",79.2068965517241,223.378378378378,1995
"46","George Banks",79,"211",79.2068965517241,223.378378378378,1995
"47","Tyus Edney",70,"152",79.2068965517241,223.378378378378,1995
"48","Mark Davis",79,"210",79.2068965517241,223.378378378378,1995
"49","Jerome Allen",76,"184",79.2068965517241,223.378378378378,1995
"50","Martin Lewis",77,"210",79.2068965517241,223.378378378378,1995
