"","Player","Pos","Ht","Wt","Average_Height","Average_Weight","Year"
"1","Tim Breaux","SF",79,"215",79.0588235294118,213.769230769231,1995
"2","Scott Brooks","PG",71,"165",79.0588235294118,213.769230769231,1995
"3","Chucky Brown","SF",79,"214",79.0588235294118,213.769230769231,1995
"4","Adrian Caldwell","PF",80,"265",79.0588235294118,213.769230769231,1995
"5","Sam Cassell","PG",75,"185",79.0588235294118,213.769230769231,1995
"6","Pete Chilcutt","PF",82,"230",79.0588235294118,213.769230769231,1995
"7","Clyde Drexler","SG",79,"210",79.0588235294118,213.769230769231,1995
"8","Mario Elie","SF",77,"210",79.0588235294118,213.769230769231,1995
"9","Carl Herrera","PF",81,"215",79.0588235294118,213.769230769231,1995
"10","Robert Horry","PF",81,"220",79.0588235294118,213.769230769231,1995
"11","Charles Jones","PF",81,"215",79.0588235294118,213.769230769231,1995
"12","Vernon Maxwell","SG",76,"180",79.0588235294118,213.769230769231,1995
"13","Tracy Murray","SF",79,"225",79.0588235294118,213.769230769231,1995
"14","Hakeem Olajuwon","C",84,"255",79.0588235294118,213.769230769231,1995
"15","Kenny Smith","PG",75,"170",79.0588235294118,213.769230769231,1995
"16","Zan Tabak","C",84,"245",79.0588235294118,213.769230769231,1995
"17","Otis Thorpe","PF",81,"225",79.0588235294118,213.769230769231,1995
"18","Randy Brown","PG",74,"190",80.2666666666667,219.642857142857,1996
"19","Jud Buechler","SF",78,"220",80.2666666666667,219.642857142857,1996
"20","Jason Caffey","PF",80,"255",80.2666666666667,219.642857142857,1996
"21","James Edwards","C",84,"225",80.2666666666667,219.642857142857,1996
"22","Jack Haley","C",82,"240",80.2666666666667,219.642857142857,1996
"23","Ron Harper","PG",78,"185",80.2666666666667,219.642857142857,1996
"24","Michael Jordan","SG",78,"195",80.2666666666667,219.642857142857,1996
"25","Steve Kerr","PG",75,"175",80.2666666666667,219.642857142857,1996
"26","Toni Kukoc","SF",82,"192",80.2666666666667,219.642857142857,1996
"27","Luc Longley","C",86,"265",80.2666666666667,219.642857142857,1996
"28","Scottie Pippen","SF",80,"210",80.2666666666667,219.642857142857,1996
"29","Dennis Rodman","PF",79,"210",80.2666666666667,219.642857142857,1996
"30","John Salley","PF",83,"230",80.2666666666667,219.642857142857,1996
"31","Dickey Simpkins","PF",81,"248",80.2666666666667,219.642857142857,1996
"32","Bill Wennington","C",84,"245",80.2666666666667,219.642857142857,1996
"33","Randy Brown","PG",74,"190",79.9333333333333,219.285714285714,1997
"34","Jud Buechler","SF",78,"220",79.9333333333333,219.285714285714,1997
"35","Jason Caffey","PF",80,"255",79.9333333333333,219.285714285714,1997
"36","Bison Dele","C",81,"235",79.9333333333333,219.285714285714,1997
"37","Ron Harper","SG",78,"185",79.9333333333333,219.285714285714,1997
"38","Michael Jordan","SG",78,"195",79.9333333333333,219.285714285714,1997
"39","Steve Kerr","PG",75,"175",79.9333333333333,219.285714285714,1997
"40","Toni Kukoc","SF",82,"192",79.9333333333333,219.285714285714,1997
"41","Luc Longley","C",86,"265",79.9333333333333,219.285714285714,1997
"42","Robert Parish","C",84,"230",79.9333333333333,219.285714285714,1997
"43","Scottie Pippen","SF",80,"210",79.9333333333333,219.285714285714,1997
"44","Dennis Rodman","PF",79,"210",79.9333333333333,219.285714285714,1997
"45","Dickey Simpkins","PF",81,"248",79.9333333333333,219.285714285714,1997
"46","Matt Steigenga","SF",79,"225",79.9333333333333,219.285714285714,1997
"47","Bill Wennington","C",84,"245",79.9333333333333,219.285714285714,1997
"48","Keith Booth","SF",78,"226",79.4117647058823,218.857142857143,1998
"49","Randy Brown","PG",74,"190",79.4117647058823,218.857142857143,1998
"50","Jud Buechler","SF",78,"220",79.4117647058823,218.857142857143,1998
"51","Scott Burrell","SF",79,"218",79.4117647058823,218.857142857143,1998
"52","Jason Caffey","PF",80,"255",79.4117647058823,218.857142857143,1998
"53","Ron Harper","PG",78,"185",79.4117647058823,218.857142857143,1998
"54","Michael Jordan","SG",78,"195",79.4117647058823,218.857142857143,1998
"55","Steve Kerr","PG",75,"175",79.4117647058823,218.857142857143,1998
"56","Joe Kleine","C",83,"255",79.4117647058823,218.857142857143,1998
"57","Toni Kukoc","SF",82,"192",79.4117647058823,218.857142857143,1998
"58","Rusty LaRue","PG",74,"210",79.4117647058823,218.857142857143,1998
"59","Luc Longley","C",86,"265",79.4117647058823,218.857142857143,1998
"60","Scottie Pippen","SF",80,"210",79.4117647058823,218.857142857143,1998
"61","Dennis Rodman","PF",79,"210",79.4117647058823,218.857142857143,1998
"62","Dickey Simpkins","PF",81,"248",79.4117647058823,218.857142857143,1998
"63","David Vaughn","PF",81,"240",79.4117647058823,218.857142857143,1998
"64","Bill Wennington","C",84,"245",79.4117647058823,218.857142857143,1998
"65","Antonio Daniels","PG",76,"195",78.7142857142857,214.5,1999
"66","Tim Duncan","PF",83,"250",78.7142857142857,214.5,1999
"67","Mario Elie","SG",77,"210",78.7142857142857,214.5,1999
"68","Sean Elliott","SF",80,"205",78.7142857142857,214.5,1999
"69","Andrew Gaze","SG",79,"205",78.7142857142857,214.5,1999
"70","Jaren Jackson","SG",76,"190",78.7142857142857,214.5,1999
"71","Avery Johnson","PG",70,"175",78.7142857142857,214.5,1999
"72","Steve Kerr","PG",75,"175",78.7142857142857,214.5,1999
"73","Jerome Kersey","SF",79,"215",78.7142857142857,214.5,1999
"74","Gerard King","SF",81,"230",78.7142857142857,214.5,1999
"75","Will Perdue","C",84,"240",78.7142857142857,214.5,1999
"76","David Robinson","C",85,"235",78.7142857142857,214.5,1999
"77","Malik Rose","PF",79,"250",78.7142857142857,214.5,1999
"78","Brandon Williams","SG",78,"215",78.7142857142857,214.5,1999
"79","Kobe Bryant","SG",78,"212",78.8666666666667,215,2000
"80","John Celestand","PG",76,"178",78.8666666666667,215,2000
"81","Derek Fisher","PG",73,"200",78.8666666666667,215,2000
"82","Rick Fox","SF",79,"230",78.8666666666667,215,2000
"83","Devean George","SF",80,"220",78.8666666666667,215,2000
"84","A.C. Green","PF",81,"220",78.8666666666667,215,2000
"85","Ron Harper","PG",78,"185",78.8666666666667,215,2000
"86","Robert Horry","PF",81,"220",78.8666666666667,215,2000
"87","Sam Jacobson","PG",76,"215",78.8666666666667,215,2000
"88","Travis Knight","C",84,"235",78.8666666666667,215,2000
"89","Tyronn Lue","PG",72,"175",78.8666666666667,215,2000
"90","Shaquille O'Neal","C",85,"325",78.8666666666667,215,2000
"91","Glen Rice","SF",79,"215",78.8666666666667,215,2000
"92","John Salley","C",83,"230",78.8666666666667,215,2000
"93","Brian Shaw","SG",78,"190",78.8666666666667,215,2000
"94","Kobe Bryant","SG",78,"212",78.9333333333333,222,2001
"95","Derek Fisher","PG",73,"200",78.9333333333333,222,2001
"96","Greg Foster","C",83,"240",78.9333333333333,222,2001
"97","Rick Fox","SF",79,"230",78.9333333333333,222,2001
"98","Devean George","SF",80,"220",78.9333333333333,222,2001
"99","Horace Grant","PF",82,"215",78.9333333333333,222,2001
